episode,survival_steps_agent0,epsilon,intrinsic_weight,env_steps_all_agents,total_env_steps_cumulative
0,43,1.000000,1.000000,344,344
1,66,0.995000,1.000000,528,872
2,71,0.990025,1.000000,568,1440
3,69,0.985075,1.000000,552,1992
4,45,0.980150,1.000000,360,2352
5,65,0.975249,1.000000,520,2872
6,69,0.970373,1.000000,552,3424
7,47,0.965521,1.000000,376,3800
8,46,0.960693,1.000000,368,4168
9,47,0.955890,1.000000,376,4544
10,45,0.951110,1.000000,360,4904
11,46,0.946355,1.000000,368,5272
12,44,0.941623,1.000000,352,5624
13,47,0.936915,1.000000,376,6000
14,46,0.932230,1.000000,368,6368
15,44,0.927569,1.000000,352,6720
16,52,0.922931,1.000000,416,7136
17,65,0.918316,1.000000,520,7656
18,45,0.913725,1.000000,360,8016
19,75,0.909156,1.000000,600,8616
20,47,0.904610,1.000000,376,8992
21,47,0.900087,1.000000,376,9368
22,53,0.895587,1.000000,424,9792
23,48,0.891109,1.000000,384,10176
24,59,0.886654,1.000000,472,10648
25,74,0.882220,1.000000,592,11240
26,64,0.877809,1.000000,512,11752
27,45,0.873420,1.000000,360,12112
28,58,0.869053,1.000000,464,12576
29,46,0.864708,1.000000,368,12944
30,45,0.860384,1.000000,360,13304
31,73,0.856082,1.000000,584,13888
32,45,0.851802,1.000000,360,14248
33,47,0.847543,1.000000,376,14624
34,46,0.843305,1.000000,368,14992
35,78,0.839089,1.000000,624,15616
36,60,0.834893,1.000000,480,16096
37,71,0.830719,1.000000,568,16664
38,47,0.826565,1.000000,376,17040
39,44,0.822432,1.000000,352,17392
40,45,0.818320,1.000000,360,17752
41,44,0.814229,1.000000,352,18104
42,47,0.810157,1.000000,376,18480
43,50,0.806107,1.000000,400,18880
44,60,0.802076,1.000000,480,19360
45,47,0.798066,1.000000,376,19736
46,73,0.794075,1.000000,584,20320
47,78,0.790105,1.000000,624,20944
48,73,0.786154,1.000000,584,21528
49,46,0.782224,1.000000,368,21896
50,89,0.778313,1.000000,712,22608
51,44,0.774421,1.000000,352,22960
52,43,0.770549,1.000000,344,23304
53,47,0.766696,1.000000,376,23680
54,48,0.762863,1.000000,384,24064
55,50,0.759048,1.000000,400,24464
56,46,0.755253,1.000000,368,24832
57,45,0.751477,1.000000,360,25192
58,47,0.747719,1.000000,376,25568
59,47,0.743981,1.000000,376,25944
60,45,0.740261,1.000000,360,26304
61,47,0.736560,1.000000,376,26680
62,57,0.732877,1.000000,456,27136
63,53,0.729212,1.000000,424,27560
64,51,0.725566,1.000000,408,27968
65,44,0.721939,1.000000,352,28320
66,45,0.718329,1.000000,360,28680
67,45,0.714737,1.000000,360,29040
68,70,0.711164,1.000000,560,29600
69,79,0.707608,1.000000,632,30232
70,48,0.704070,1.000000,384,30616
71,45,0.700549,1.000000,360,30976
72,44,0.697047,1.000000,352,31328
73,45,0.693561,1.000000,360,31688
74,49,0.690094,1.000000,392,32080
75,47,0.686643,1.000000,376,32456
76,53,0.683210,1.000000,424,32880
77,75,0.679794,1.000000,600,33480
78,45,0.676395,1.000000,360,33840
79,62,0.673013,1.000000,496,34336
80,75,0.669648,1.000000,600,34936
81,47,0.666300,1.000000,376,35312
82,74,0.662968,1.000000,592,35904
83,67,0.659653,1.000000,536,36440
84,81,0.656355,1.000000,648,37088
85,56,0.653073,1.000000,448,37536
86,71,0.649808,1.000000,568,38104
87,48,0.646559,1.000000,384,38488
88,46,0.643326,1.000000,368,38856
89,48,0.640109,1.000000,384,39240
90,49,0.636909,1.000000,392,39632
91,48,0.633724,1.000000,384,40016
92,67,0.630556,1.000000,536,40552
93,55,0.627403,1.000000,440,40992
94,47,0.624266,1.000000,376,41368
95,50,0.621145,1.000000,400,41768
96,50,0.618039,1.000000,400,42168
97,53,0.614949,1.000000,424,42592
98,53,0.611874,1.000000,424,43016
99,81,0.608815,1.000000,648,43664
100,77,0.605770,1.000000,616,44280
101,51,0.602742,1.000000,408,44688
102,59,0.599728,1.000000,472,45160
103,67,0.596729,1.000000,536,45696
104,75,0.593746,1.000000,600,46296
105,51,0.590777,1.000000,408,46704
106,49,0.587823,1.000000,392,47096
107,45,0.584884,1.000000,360,47456
108,66,0.581959,1.000000,528,47984
109,45,0.579050,1.000000,360,48344
110,47,0.576154,1.000000,376,48720
111,48,0.573274,1.000000,384,49104
112,45,0.570407,1.000000,360,49464
113,51,0.567555,1.000000,408,49872
114,51,0.564717,1.000000,408,50280
115,75,0.561894,1.000000,600,50880
116,56,0.559084,1.000000,448,51328
117,49,0.556289,1.000000,392,51720
118,46,0.553508,1.000000,368,52088
119,97,0.550740,1.000000,776,52864
120,77,0.547986,1.000000,616,53480
121,65,0.545246,1.000000,520,54000
122,58,0.542520,1.000000,464,54464
123,57,0.539808,1.000000,456,54920
124,56,0.537108,1.000000,448,55368
125,93,0.534423,1.000000,744,56112
126,59,0.531751,1.000000,472,56584
127,55,0.529092,1.000000,440,57024
128,59,0.526447,1.000000,472,57496
129,60,0.523814,1.000000,480,57976
130,54,0.521195,1.000000,432,58408
131,55,0.518589,1.000000,440,58848
132,64,0.515996,1.000000,512,59360
133,52,0.513416,1.000000,416,59776
134,53,0.510849,1.000000,424,60200
135,61,0.508295,1.000000,488,60688
136,137,0.505754,1.000000,1096,61784
137,44,0.503225,1.000000,352,62136
138,47,0.500709,1.000000,376,62512
139,62,0.498205,1.000000,496,63008
140,55,0.495714,1.000000,440,63448
