episode,batch_episode_steps,epsilon,intrinsic_weight
0,94,1.000000,1.000000
1,47,0.995000,1.000000
2,61,0.990025,1.000000
3,52,0.985075,1.000000
4,50,0.980150,1.000000
5,46,0.975249,1.000000
6,87,0.970373,1.000000
7,46,0.965521,1.000000
8,46,0.960693,1.000000
9,53,0.955890,1.000000
10,43,0.951110,1.000000
11,43,0.946355,1.000000
12,45,0.941623,1.000000
13,43,0.936915,1.000000
14,73,0.932230,1.000000
15,48,0.927569,1.000000
16,47,0.922931,1.000000
17,50,0.918316,1.000000
18,45,0.913725,1.000000
19,50,0.909156,1.000000
20,44,0.904610,1.000000
21,44,0.900087,1.000000
22,44,0.895587,1.000000
23,65,0.891109,1.000000
24,72,0.886654,1.000000
25,74,0.882220,1.000000
26,43,0.877809,1.000000
27,49,0.873420,1.000000
28,47,0.869053,1.000000
29,73,0.864708,1.000000
30,47,0.860384,1.000000
31,47,0.856082,1.000000
32,46,0.851802,1.000000
33,50,0.847543,1.000000
34,45,0.843305,1.000000
35,47,0.839089,1.000000
36,45,0.834893,1.000000
37,45,0.830719,1.000000
38,47,0.826565,1.000000
39,47,0.822432,1.000000
40,52,0.818320,1.000000
41,45,0.814229,1.000000
42,57,0.810157,1.000000
43,78,0.806107,1.000000
44,47,0.802076,1.000000
45,69,0.798066,1.000000
46,41,0.794075,1.000000
47,77,0.790105,1.000000
48,48,0.786154,1.000000
49,46,0.782224,1.000000
50,56,0.778313,1.000000
51,70,0.774421,1.000000
52,49,0.770549,1.000000
53,84,0.766696,1.000000
54,49,0.762863,1.000000
55,48,0.759048,1.000000
56,45,0.755253,1.000000
57,45,0.751477,1.000000
58,72,0.747719,1.000000
59,44,0.743981,1.000000
60,79,0.740261,1.000000
61,51,0.736560,1.000000
62,51,0.732877,1.000000
63,52,0.729212,1.000000
64,54,0.725566,1.000000
65,47,0.721939,1.000000
66,49,0.718329,1.000000
67,46,0.714737,1.000000
68,45,0.711164,1.000000
69,53,0.707608,1.000000
70,55,0.704070,1.000000
71,56,0.700549,1.000000
72,70,0.697047,1.000000
73,54,0.693561,1.000000
74,73,0.690094,1.000000
75,48,0.686643,1.000000
76,52,0.683210,1.000000
77,45,0.679794,1.000000
78,60,0.676395,1.000000
79,56,0.673013,1.000000
80,45,0.669648,1.000000
81,45,0.666300,1.000000
82,46,0.662968,1.000000
83,64,0.659653,1.000000
84,45,0.656355,1.000000
85,44,0.653073,1.000000
86,44,0.649808,1.000000
87,45,0.646559,1.000000
88,49,0.643326,1.000000
89,47,0.640109,1.000000
90,50,0.636909,1.000000
91,51,0.633724,1.000000
92,59,0.630556,1.000000
93,56,0.627403,1.000000
94,48,0.624266,1.000000
95,53,0.621145,1.000000
96,51,0.618039,1.000000
97,53,0.614949,1.000000
98,49,0.611874,1.000000
99,68,0.608815,1.000000
100,53,0.605770,1.000000
101,49,0.602742,1.000000
102,68,0.599728,1.000000
103,44,0.596729,1.000000
104,47,0.593746,1.000000
105,46,0.590777,1.000000
106,67,0.587823,1.000000
107,51,0.584884,1.000000
108,43,0.581959,1.000000
109,51,0.579050,1.000000
110,46,0.576154,1.000000
111,49,0.573274,1.000000
112,48,0.570407,1.000000
113,47,0.567555,1.000000
114,45,0.564717,1.000000
115,55,0.561894,1.000000
116,45,0.559084,1.000000
117,50,0.556289,1.000000
118,48,0.553508,1.000000
119,47,0.550740,1.000000
120,45,0.547986,1.000000
121,43,0.545246,1.000000
122,50,0.542520,1.000000
123,68,0.539808,1.000000
124,51,0.537108,1.000000
125,47,0.534423,1.000000
126,47,0.531751,1.000000
127,57,0.529092,1.000000
128,53,0.526447,1.000000
129,47,0.523814,1.000000
130,46,0.521195,1.000000
131,57,0.518589,1.000000
132,56,0.515996,1.000000
133,47,0.513416,1.000000
134,49,0.510849,1.000000
135,56,0.508295,1.000000
136,45,0.505754,1.000000
137,43,0.503225,1.000000
138,51,0.500709,1.000000
139,49,0.498205,1.000000
140,45,0.495714,1.000000
141,71,0.493236,1.000000
142,67,0.490769,1.000000
143,84,0.488316,1.000000
144,43,0.485874,1.000000
145,44,0.483445,1.000000
146,56,0.481027,1.000000
147,44,0.478622,1.000000
148,40,0.476229,1.000000
149,49,0.473848,1.000000
150,56,0.471479,1.000000
151,77,0.469121,1.000000
152,41,0.466776,1.000000
153,47,0.464442,1.000000
154,54,0.462120,1.000000
155,72,0.459809,1.000000
156,53,0.457510,1.000000
157,50,0.455222,1.000000
158,51,0.452946,1.000000
159,65,0.450682,1.000000
160,49,0.448428,1.000000
161,57,0.446186,1.000000
162,53,0.443955,1.000000
163,47,0.441735,1.000000
164,59,0.439527,1.000000
165,57,0.437329,1.000000
166,44,0.435142,1.000000
167,82,0.432967,1.000000
168,53,0.430802,1.000000
169,39,0.428648,1.000000
170,65,0.426505,1.000000
171,52,0.424372,1.000000
172,106,0.422250,1.000000
173,80,0.420139,1.000000
174,58,0.418038,1.000000
175,71,0.415948,1.000000
176,59,0.413868,1.000000
177,51,0.411799,1.000000
178,59,0.409740,1.000000
179,60,0.407691,1.000000
180,82,0.405653,1.000000
181,51,0.403625,1.000000
182,56,0.401606,1.000000
183,58,0.399598,1.000000
184,51,0.397600,1.000000
185,61,0.395612,1.000000
186,57,0.393634,1.000000
187,62,0.391666,1.000000
188,55,0.389708,1.000000
189,44,0.387759,1.000000
190,56,0.385821,1.000000
191,58,0.383891,1.000000
192,46,0.381972,1.000000
193,59,0.380062,1.000000
194,42,0.378162,1.000000
195,53,0.376271,1.000000
196,57,0.374390,1.000000
197,39,0.372518,1.000000
198,60,0.370655,1.000000
199,48,0.368802,1.000000
200,77,0.366958,1.000000
201,61,0.365123,1.000000
202,58,0.363297,1.000000
203,61,0.361481,1.000000
204,47,0.359674,1.000000
205,50,0.357875,1.000000
206,49,0.356086,1.000000
207,63,0.354305,1.000000
208,63,0.352534,1.000000
209,52,0.350771,1.000000
210,56,0.349017,1.000000
211,70,0.347272,1.000000
212,75,0.345536,1.000000
213,53,0.343808,1.000000
214,47,0.342089,1.000000
215,61,0.340379,1.000000
216,54,0.338677,1.000000
217,54,0.336983,1.000000
218,72,0.335298,1.000000
219,65,0.333622,1.000000
220,49,0.331954,1.000000
221,59,0.330294,1.000000
222,54,0.328643,1.000000
223,57,0.326999,1.000000
224,68,0.325364,1.000000
225,55,0.323738,1.000000
226,67,0.322119,1.000000
227,52,0.320508,1.000000
228,60,0.318906,1.000000
229,59,0.317311,1.000000
230,72,0.315725,1.000000
231,51,0.314146,1.000000
232,67,0.312575,1.000000
233,53,0.311012,1.000000
234,49,0.309457,1.000000
235,74,0.307910,1.000000
