episode,batch_episode_steps,epsilon,intrinsic_weight
0,43,1.000000,1.000000
1,44,0.995000,1.000000
2,58,0.990025,1.000000
3,45,0.985075,1.000000
4,43,0.980150,1.000000
5,65,0.975249,1.000000
6,45,0.970373,1.000000
7,46,0.965521,1.000000
8,49,0.960693,1.000000
9,45,0.955890,1.000000
10,46,0.951110,1.000000
11,45,0.946355,1.000000
12,42,0.941623,1.000000
13,42,0.936915,1.000000
14,49,0.932230,1.000000
15,61,0.927569,1.000000
16,56,0.922931,1.000000
17,45,0.918316,1.000000
18,67,0.913725,1.000000
19,50,0.909156,1.000000
20,46,0.904610,1.000000
21,45,0.900087,1.000000
22,58,0.895587,1.000000
23,63,0.891109,1.000000
24,43,0.886654,1.000000
25,55,0.882220,1.000000
26,49,0.877809,1.000000
27,46,0.873420,1.000000
28,45,0.869053,1.000000
29,48,0.864708,1.000000
30,42,0.860384,1.000000
31,67,0.856082,1.000000
32,47,0.851802,1.000000
33,47,0.847543,1.000000
34,45,0.843305,1.000000
35,69,0.839089,1.000000
36,50,0.834893,1.000000
37,50,0.830719,1.000000
38,43,0.826565,1.000000
39,45,0.822432,1.000000
40,47,0.818320,1.000000
41,51,0.814229,1.000000
42,69,0.810157,1.000000
43,67,0.806107,1.000000
44,51,0.802076,1.000000
45,47,0.798066,1.000000
46,45,0.794075,1.000000
47,45,0.790105,1.000000
48,48,0.786154,1.000000
49,49,0.782224,1.000000
50,44,0.778313,1.000000
51,47,0.774421,1.000000
52,45,0.770549,1.000000
53,49,0.766696,1.000000
54,46,0.762863,1.000000
55,42,0.759048,1.000000
56,42,0.755253,1.000000
57,42,0.751477,1.000000
58,52,0.747719,1.000000
59,45,0.743981,1.000000
60,49,0.740261,1.000000
61,46,0.736560,1.000000
62,140,0.732877,1.000000
63,46,0.729212,1.000000
64,48,0.725566,1.000000
65,47,0.721939,1.000000
66,48,0.718329,1.000000
67,66,0.714737,1.000000
68,47,0.711164,1.000000
69,43,0.707608,1.000000
70,56,0.704070,1.000000
71,62,0.700549,1.000000
72,45,0.697047,1.000000
